REPO_EXAMPLE_ID  ,NAME  ,OWNER  ,URL  ,DATABASE_CONNECTION  ,DOCKERFILE  ,LOGS_SERVICE  ,MESSAGING  ,MICROSERVICE_MENTION  ,RESTFUL  ,SOAP  ,ALL_CONTENTS_NUMBER  ,FILES  ,SIZE  ,DATABASE_SERVICES  ,PROGRAMMING_LANGUAGES  ,LOG_SERVICES  ,MESSAGING_SERVICES  ,DOCKERFILES  ,MICROSERVICE  ,MICROSERVICE_SET  
57,docker-shop-suite,spryker,https://github.com/spryker/docker-shop-suite,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,86,73,279,3,1,0,0,11,TRUE,FALSE
58,devicehive-docker,devicehive,https://github.com/devicehive/devicehive-docker,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,80,71,735,5,0,0,0,11,TRUE,FALSE
59,redaxo-mit-docker,FriendsOfREDAXO,https://github.com/FriendsOfREDAXO/redaxo-mit-docker,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,12,10,1839,1,0,0,0,4,TRUE,FALSE
60,docker-ckan,okfn,https://github.com/okfn/docker-ckan,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,76,49,198,2,1,0,0,24,TRUE,FALSE
61,drupal-docker-compose,adaptdk,https://github.com/adaptdk/drupal-docker-compose,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,34,27,34,4,1,0,0,19,TRUE,FALSE
62,drupal-docker,theodorosploumis,https://github.com/theodorosploumis/drupal-docker,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,11,8,44,1,1,0,0,6,TRUE,FALSE
63,open_fmri,poldracklab,https://github.com/poldracklab/open_fmri,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,182,164,3512,1,2,0,1,7,TRUE,FALSE
64,node-seneca-base,eoinsha,https://github.com/eoinsha/node-seneca-base,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,24,20,6,0,1,0,1,2,TRUE,FALSE
65,docker-compose-drupal,Mogtofu33,https://github.com/Mogtofu33/docker-compose-drupal,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,256,226,6606,3,3,0,0,34,TRUE,TRUE
66,inspire-next,inspirehep,https://github.com/inspirehep/inspire-next,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1210,963,98320,6,3,0,0,18,TRUE,TRUE
67,docker-rabbitmq-cluster,pardahlman,https://github.com/pardahlman/docker-rabbitmq-cluster,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,5,5,5,3,0,0,0,2,TRUE,FALSE
69,kafka-stack-docker-compose,conduktor,https://github.com/conduktor/kafka-stack-docker-compose,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,15,13,141,7,0,0,0,9,TRUE,FALSE
70,cms-docker,cms-sw,https://github.com/cms-sw/cms-docker,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,129,108,1355,1,2,0,0,32,TRUE,FALSE
71,bitrixdock,bitrixdock,https://github.com/bitrixdock/bitrixdock,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,64,42,494,1,1,0,0,6,TRUE,FALSE
73,cortex-starter,cortex-cms,https://github.com/cortex-cms/cortex-starter,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,180,136,206,2,2,0,0,5,TRUE,TRUE
75,geonode,GeoNode,https://github.com/GeoNode/geonode,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,3428,2836,457939,2,3,0,0,32,TRUE,TRUE
76,website,jazzband,https://github.com/jazzband/website,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,259,223,6016,2,2,0,0,3,TRUE,TRUE
77,fast-data-connect-cluster,lensesio,https://github.com/lensesio/fast-data-connect-cluster,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,5,5,13,2,0,0,0,1,TRUE,FALSE
78,fragalysis-stack,xchem,https://github.com/xchem/fragalysis-stack,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,13,11,711,2,0,0,0,3,TRUE,FALSE
79,docker-compose-lamp,sprintcube,https://github.com/sprintcube/docker-compose-lamp,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,68,39,243,2,1,0,0,16,TRUE,FALSE
80,docker-compose-tick-stack,mgcrea,https://github.com/mgcrea/docker-compose-tick-stack,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,25,17,29,1,0,0,0,5,TRUE,FALSE
81,node-docker-compose,damsonn,https://github.com/damsonn/node-docker-compose,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,32,24,15,1,1,0,0,9,TRUE,FALSE
82,devilbox,cytopia,https://github.com/cytopia/devilbox,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9873,8604,50133,5,2,2,0,195,TRUE,TRUE
84,st2-docker,StackStorm,https://github.com/StackStorm/st2-docker,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,34,25,592,3,1,0,0,9,TRUE,FALSE
85,cote-workshop,dashersw,https://github.com/dashersw/cote-workshop,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,30,26,128,3,1,0,0,4,TRUE,FALSE
86,reactive-interaction-gateway,Accenture,https://github.com/Accenture/reactive-interaction-gateway,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,647,507,19359,4,4,1,0,34,TRUE,TRUE
87,compose-services,uc-cdis,https://github.com/uc-cdis/compose-services,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,133,123,983,2,1,1,0,18,TRUE,FALSE
88,flask-microservices-main,testdrivenio,https://github.com/testdrivenio/flask-microservices-main,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,28,25,57,2,1,0,0,4,TRUE,FALSE
89,microservice-demo,nklmish,https://github.com/nklmish/microservice-demo,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,170,82,380,1,2,0,1,22,TRUE,FALSE
90,spring-cloud-microservice-example,kbastani,https://github.com/kbastani/spring-cloud-microservice-example,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,182,90,3306,1,1,0,1,11,TRUE,FALSE
91,spring-boot-microservices-series,sivaprasadreddy,https://github.com/sivaprasadreddy/spring-boot-microservices-series,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,306,147,178,2,2,2,0,11,TRUE,TRUE
92,microservices-examples,cer,https://github.com/cer/microservices-examples,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,178,97,134,2,3,1,0,16,TRUE,TRUE
93,microservice,ewolff,https://github.com/ewolff/microservice,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,224,114,291,0,1,1,0,15,TRUE,FALSE
94,java-microservice,apssouza22,https://github.com/apssouza22/java-microservice,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,393,240,777,1,1,0,0,24,TRUE,FALSE
95,microservice-movies,mjhea0,https://github.com/mjhea0/microservice-movies,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,133,102,920,4,1,0,0,12,TRUE,FALSE
96,microservices-nginx-gateway,launchany,https://github.com/launchany/microservices-nginx-gateway,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,6,6,3,0,0,0,0,1,TRUE,FALSE
97,composing-microservices-with-sbt-docker,markglh,https://github.com/markglh/composing-microservices-with-sbt-docker,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,80,44,272,5,1,0,0,9,TRUE,FALSE
98,ftgo-application,microservices-patterns,https://github.com/microservices-patterns/ftgo-application,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,967,505,1454,5,4,1,1,53,TRUE,TRUE
